source_id,predicate,target_id,relation_notes_key,graph_id
N001,HAS_STYLE,N021,,default
N001,HAS_SUBDOMAIN,N002,,default
N001,INFLUENCES,NF10C195D,,default
N002,CONCERNS,N020,,default
N002,EXPOSES_API_TYPE,N013,,default
N002,HAS_LAYER,N003,,default
N002,HAS_LAYER,N004,,default
N003,USES_FRAMEWORK,N011,,default
N003,USES_LANGUAGE,N012,,default
N003,USES_TECH,N009,,default
N003,USES_TECH,N010,,default
N004,RELATES_TO,N003,,default
N004F7CB5,ENABLES,NF6F3DA77,,default
N006,CONCERNS,N008,,default
N006,USES_PARADIGM,N007,,default
N008,RELATES_TO,N006,,default
N008,RELATES_TO,N069,,default
N00E688D7,CONTRASTS_WITH,N76258D35,,default
N00E688D7,INFLUENCES,NC2477DA5,,default
N011,CONTRASTS_WITH,NADF28416,,default
N013,USES,N014,,default
N014,CONNECTS,N003,,default
N014,CONNECTS,N004,,default
N014,DRIVES,N015,,default
N014,ENABLES,N016,,default
N016,REQUIRES,N017,,default
N017,INFORMED_BY,N018,,default
N021,BUILDS_ON,N013,,default
N021,DEPENDS_ON,N022,,default
N021,DEPENDS_ON,N025,,default
N021,DEPLOYED_VIA,N022,,default
N021,DESIGNED_WITH,N1DCA0943,,default
N021,IMPLEMENTED_WITH,N1DCA0943,,default
N022,RELATES_TO,N024,,default
N022,RUNS,N023,,default
N023,BUNDLE,N024,,default
N024,BUILDS_ON,N025,,default
N024,ENABLES,N803AB796,,default
N024,ORCHESTRATED_BY,N025,,default
N024,RELATES_TO,N022,,default
N024,RELATES_TO,NFB0F4581,,default
N0247D0D9,IS_A,ND15FD4AD,,default
N025,ENABLES,N022,,default
N025,OBSERVED_BY,N026,,default
N026,ENABLES,N4ECF8A7A,,default
N026,SUPPORTS,N7A123A0C,,default
N026,USES_TOOL,N039,,default
N026,USES_TOOL,N040,,default
N027,HAS_TYPE,N028,,default
N027,HAS_TYPE,N030,,default
N027,HAS_TYPE,N033,,default
N028,USES_LANGUAGE,N029,,default
