source_id,predicate,target_id,relation_notes_key
N001,HAS_STYLE,N021,
N001,HAS_SUBDOMAIN,N002,
N001,INFLUENCES,NF10C195D,
N002,CONCERNS,N020,
N002,EXPOSES_API_TYPE,N013,
N002,HAS_LAYER,N003,
N002,HAS_LAYER,N004,
N003,USES_FRAMEWORK,N011,
N003,USES_LANGUAGE,N012,
N003,USES_TECH,N009,
N003,USES_TECH,N010,
N004,RELATES_TO,N003,
N004F7CB5,ENABLES,NF6F3DA77,
N006,CONCERNS,N008,
N006,USES_PARADIGM,N007,
N008,RELATES_TO,N006,
N008,RELATES_TO,N069,
N00E688D7,CONTRASTS_WITH,N76258D35,
N00E688D7,INFLUENCES,NC2477DA5,
N011,CONTRASTS_WITH,NADF28416,
N013,USES,N014,
N014,CONNECTS,N003,
N014,CONNECTS,N004,
N014,DRIVES,N015,
N014,ENABLES,N016,
N016,REQUIRES,N017,
N017,INFORMED_BY,N018,
N021,BUILDS_ON,N013,
N021,DEPENDS_ON,N022,
N021,DEPENDS_ON,N025,
N021,DEPLOYED_VIA,N022,
N021,DESIGNED_WITH,N1DCA0943,
N021,IMPLEMENTED_WITH,N1DCA0943,
N022,RELATES_TO,N024,
N022,RUNS,N023,
N023,BUNDLE,N024,
N024,BUILDS_ON,N025,
N024,ENABLES,N803AB796,
N024,ORCHESTRATED_BY,N025,
N024,RELATES_TO,N022,
N024,RELATES_TO,NFB0F4581,
N0247D0D9,IS_A,ND15FD4AD,
N025,ENABLES,N022,
N025,OBSERVED_BY,N026,
N026,ENABLES,N4ECF8A7A,
N026,SUPPORTS,N7A123A0C,
N026,USES_TOOL,N039,
N026,USES_TOOL,N040,
N027,HAS_TYPE,N028,
N027,HAS_TYPE,N030,
N027,HAS_TYPE,N033,
N028,USES_LANGUAGE,N029,
N0281B28F,USED_FOR,N7211AB17,
N02B3F05E,ENABLES,N51395763,
N030,USES,N032,
N030,USES_TOOL,N031,
N033,HAS_PART,N034,
N033,IMPLEMENTED_IN,N035,
N033,USES_TOOL,N036,
N033,USES_TOOL,N041,
N036,BUILDS_ON,N42A842EF,
N036,IMPLEMENTS,N42A842EF,
N036,USES_TECH,N026,
N036,USES_TECH,N037,
N037,OBSERVED_BY,N038,
N03B2AA13,DEPENDS_ON,N531190C4,
N041,USES_MODEL,N042,
N041,USES_TOOL,N044,
N042,REQUIRES,N043,
N042,USES_MODEL,N050,
N0423CDD8,BUILDS_ON,N4438795B,
N0423CDD8,BUILDS_ON,NF5D7F057,
N044,ENABLES,N2912C48A,
N044,ENABLES,NC0555567,
N044,HAS_COMPONENT,N04438C9A,
N044,HAS_COMPONENT,N7BF4C248,
N044,USES_PROTOCOL,N045,
N04438C9A,ENABLES,N9B2406A4,
N045,USES_PROTOCOL,N046,
N046,ENABLES,N047,
N047,HAS_SUBDOMAIN,N048,
N048,HAS_SUBDOMAIN,N049,
N048,USES_MODEL,N085,
N04875BA9,ENABLED_BY,N2D5F96AF,
N04B93B2F,CONTAINS,N1E83052D,
N04B93B2F,CONTAINS,N57CFB807,
N04B93B2F,CONTAINS,N5DF993D4,
