lecture_id,predicate,concept_id,step_order
L001,COVERS,N001,1
L001,COVERS,N002,2
L001,COVERS,N003,3
L001,COVERS,N004,4
L001,COVERS,N021,5
L001,COVERS,N022,6
L001,COVERS,N023,7
L001,COVERS,N024,8
L001,COVERS,N025,9
L001,COVERS,N026,10
L001,COVERS,N014,11
L001,COVERS,N013,12
L001,COVERS,N015,13
L001,COVERS,N016,14
L001,COVERS,N017,15
L001,COVERS,N018,16
L001,COVERS,N020,18
L0215CE04,COVERS,N001,1
L02461ABE,COVERS,N001,1
L07782FB5,COVERS,N001,1
L26E904A1,COVERS,N001,1
L2B272B09,COVERS,N001,1
L3F49CD56,COVERS,N001,1
L3F515B4C,COVERS,N001,1
L4883880C,COVERS,N001,1
L4B4FA634,COVERS,N001,1
L6E44200D,COVERS,N001,1
L85275251,COVERS,N001,1
L960C2A80,COVERS,N001,1
L9A0A71B7,COVERS,N001,1
L9EC965BB,COVERS,N001,1
LA23AA7CB,COVERS,N001,1
LA4EE3028,COVERS,N001,1
LB4C9BC5D,COVERS,N001,1
LB8D6496B,COVERS,N001,1
LBA5BD194,COVERS,N001,1
LBC4B58AE,COVERS,N001,1
LD1E4980E,COVERS,N001,1
LDD64855B,COVERS,N001,1
LE7EACCAC,COVERS,N001,1
LFA9DFE48,COVERS,N001,1
