node_id,name,domain,type,notes_key,lecture_key,url_slug,graph_id
N001,Software Architecture,Software Architecture,domain,,,,default
N002,Web Development,Software Architecture,concept,,,,default
N003,Front End,Software Architecture,concept,,,,default
N004,Back End,Software Architecture,concept,,,,default
N004F7CB5,Burning Bridges,Psychology,concept,,LECTURE_A1084227,,default
N005,Frameworks,Software Architecture,concept,,,,default
N006,Java,Software Architecture,concept,,,,default
N007,Object-Oriented Programming,Software Architecture,concept,,,,default
N008,Concurrency,Software Architecture,concept,,,,default
N009,HTML,Software Architecture,concept,,,,default
N00E688D7,Performance of Ownership,Cultural Studies,concept,,LECTURE_B86739F5,,default
N010,CSS,Software Architecture,concept,,,,default
N011,React,Software Architecture,concept,,,,default
N012,TypeScript,Software Architecture,concept,,,,default
N013,REST API,Software Architecture,concept,,,,default
N014,APIs,Software Architecture,concept,,,,default
N015,API Economy,Software Architecture,concept,,,,default
N016,SaaS,Software Architecture,concept,,,,default
N017,Product,Software Architecture,concept,,,,default
N018,User Research,Software Architecture,concept,,,,default
N020,Authentication,Software Architecture,concept,,,,default
N021,Microservices,Software Architecture,concept,,,,default
N022,Docker,Software Architecture,concept,,,,default
N023,Containers,Software Architecture,concept,,,,default
N024,Containerization,Software Architecture,concept,,,,default
N0247D0D9,CSRF,Application Security,concept,,LECTURE_4A7A895C,,default
N025,Kubernetes,Software Architecture,concept,,,,default
N026,Observability,Software Architecture,concept,,,,default
N027,Databases,Databases,domain,,,,default
N028,Relational Databases,Databases,concept,,,,default
N0281B28F,CRUD Operations,Databases,concept,,LECTURE_A094096A,,default
N029,SQL,Databases,concept,,,,default
N02B3F05E,JavaScript Promises,Web Development,concept,,LECTURE_06093866,,default
N030,Vector Databases,Databases,concept,,,,default
N031,Pinecone,Databases,concept,,,,default
N032,Embeddings,Databases,concept,,,,default
N033,Knowledge Graphs,Databases,concept,,,,default
N034,Graph Nodes,Databases,concept,,,,default
N035,Neo4j,Databases,concept,,,,default
N036,LangChain,Machine Learning,concept,,,,default
N037,RAG,Machine Learning,concept,,,,default
N038,LangSmith,Machine Learning,concept,,,,default
